0.001 	0.001 	1.116 	14.487 	2.203 	1.847
0.001 	0.194	1.69	6.26565295	1.029134	0.78746785
0.001 	2.25	1.11	20.14040065	2.8529656	2.57285095
0.001 	2.35	1.11	14.38910865	2.27947245	1.8947968
0.001 	2.45	1.11	22.02159995	3.165752	2.7176588
0.001 	3.25	1.11	20.5850623	2.99118205	2.73317295
0.001 	3.41	1.11	14.05003635	2.3384383	1.9216812
0.001 	3.55	1.11	21.0173835	3.02354085	2.59788405
0.001 	4.360 	1.110 	27.752 	4.160 	3.731
0.001 	4.49	1.11	14.33300455	2.3625928	1.95082115
0.001 	4.610 	1.110 	20.419 	2.927 	2.502
0.200 	2.350 	1.670 	25.027 	4.397 	3.769
0.200 	3.41	1.67	30.6881476	5.0543831	4.26773145
0.200 	4.49	1.67	25.0733228	4.40798635	3.7908016
0.05	0.056	1.41	10.3046397	1.7010245	1.3968104
0.132	1.122	1.074	14.72263935	2.22042445	1.9204087
0.164 	2.854 	0.867 	5.545 	0.657 	0.475
0.168	1.33	1.071	29.73341115	4.221015	3.7116654
0.17	1.278	1.271	28.6093892	4.2469141	3.723772
0.188	1.268	1.678	11.7645462	1.9989493	1.59942275
0.198	1.448	1.678	12.3463847	1.9212484	1.5515388
0.209	0.001 	1.28	17.6460771	2.5950011	2.1637079
0.218	0.445	1.681	25.2485926	3.65627755	3.1771566
0.231 	0.123 	1.410 	18.111 	3.026 	2.720
0.272	1.488	1.07	29.68564705	4.31540435	3.82886245
0.351	1.33	1.071	32.43352205	4.90759605	4.35103915
0.379	0.001 	1.116	24.59990475	3.59811315	3.1044613
0.436	1.122	1.074	16.3249518	2.152568	1.85725345
0.466	0.126	1.41	27.8155753	4.3833948	3.8652406
0.492	1.448	1.678	34.1410659	5.4894534	4.8163615
0.493	1.325	1.271	41.166394	6.19134115	5.51435275
0.580 	2.854	0.867	4.02025435	0.6911975	0.46374775
0.604	1.33	1.071	41.28962815	5.78611645	5.14918265
0.645	1.488	1.07	36.31903535	5.2528317	4.5995647
0.676	0.56	1.077	5.0369002	0.75298935	0.56768695
0.696	1.268	1.678	40.39734705	6.78829365	5.7526286
0.703	0.109	1.41	38.5659232	5.44965275	4.725654
0.740 	1.122 	1.074 	23.393 	3.512 	3.058
0.804 	2.854	0.867	7.7163897	1.0126605	0.73614505
0.863 	1.330 	1.075 	43.904 	6.907 	6.182
0.892	0.56	1.077	6.03840305	0.9627236	0.73279935
0.943	0.109	1.41	40.92488135	5.6972899	4.95345285
0.983	1.325 	1.271	67.20263455	9.63436575	8.70284785
1.01	4.49	1.11	36.2302111	5.31224585	4.7575387
1.03	3.23	1.67	76.0355847	10.6963937	9.4620735
1.044	0.001 	1.116	37.88269315	5.48722235	4.79609535
1.05	3.55	1.11	30.58268045	4.16480615	3.6887042
1.062	0.482	1.681	111.2285644	16.2126952	14.4355703
1.07	3.41	1.11	39.0380006	5.6159925	5.0423938
1.07	3.41	1.67	46.74625615	7.2726839	6.35280215
1.07	4.49	1.67	47.90545955	7.36096565	6.47232635
1.088	1.448	1.678	56.4129021	9.21355055	8.1226798
1.09	1.488	1.07	35.94401915	5.4200175	4.620171
1.100 	4.610 	1.110 	32.744 	4.452 	3.933
1.110 	2.350 	1.670 	44.686 	7.197 	6.336
1.116	1.33	1.075	46.1454047	6.597816	5.8453224
1.1207	1.122	1.074	23.89837	3.3024915	2.87496655
1.130 	4.360 	1.670 	72.080 	10.150 	8.965
1.140 	2.35	1.11	34.0285707	5.02544865	4.46333755
1.15	3.250 	1.11	26.1337242	3.4842221	3.27545635
1.15	4.61	1.67	80.3244601	11.47353405	10.22092595
1.16	4.36	1.11	30.13033785	4.5217592	4.0614988
1.178	0.436	1.41	79.67677365	11.23618715	9.9819249
1.180 	2.240 	1.670 	72.438 	10.326 	9.171
1.18	2.45	1.11	30.9871824	4.21585355	3.7269
1.2	2.25	1.11	23.4436442	2.79167155	2.65471205
1.200 	2.460 	1.670 	81.630 	11.667 	10.398
1.2	3.55	1.67	82.23002245	11.73752715	10.44921385
