2
0 337.5 16
0 180 37

0.9831	0.9839	0.9906	1
0.9746	0.9148	0.7988	0.6262
0.4456	0.2814	0.1695	0.0999
0.0562	0.0343	0.021	0.0129
0.0058	0.0022	0.0004	0
0	0	0	0
0.0004	0.0004	0.0004	0.0004
0.0004	0.0004	0.0004	0.0004
0.0009	0.0009	0.0009	0.0009
0.0009	0.9773	0.9773	0.9844
1	0.9906	0.9621	0.8903
0.7462	0.5709	0.3662	0.1931
0.1124	0.0656	0.0393	0.0236
0.0138	0.0067	0.0022	0.0004
0	0	0	0
0	0	0	0.0004
0.0004	0.0004	0.0004	0.0004
0.0004	0.0009	0.0009	0.0009
0.0009	0.0004	0.9206	0.9211
0.9286	0.9478	0.9799	1
0.9402	0.8082	0.5598	0.3394
0.2079	0.136	0.0856	0.054
0.0335	0.0192	0.0098	0.0031
0	0	0	0
0	0	0	0
0	0	0	0
0	0.0004	0.0004	0.0004
0.0004	0.0004	0	0.9344
0.9349	0.942	0.9625	1
0.9603	0.8854	0.6606	0.4518
0.2658	0.1606	0.0968	0.0566
0.0357	0.021	0.012	0.0054
0.0013	0	0	0
0	0	0	0
0	0	0	0
0	0.0004	0.0004	0.0004
0.0004	0.0004	0	0
0.9442	0.9447	0.9518	0.971
1	0.9224	0.7565	0.5602
0.3617	0.2248	0.1441	0.0852
0.0477	0.0299	0.0183	0.0103
0.004	0.0009	0	0
0	0	0	0
0	0	0	0
0	0	0.0004	0.0004
0.0004	0.0004	0.0004	0
0	0.9349	0.9349	0.9425
0.963	1	0.9701	0.88
0.6454	0.4327	0.2502	0.153
0.0905	0.0526	0.0335	0.0196
0.0112	0.0049	0.0013	0
0	0	0	0
0	0	0	0
0	0	0	0.0004
0.0004	0.0004	0.0004	0.0004
0.0004	0	0.9309	0.9309
0.9367	0.9563	0.9817	1
0.9335	0.7984	0.5433	0.3296
0.1976	0.1271	0.0767	0.0477
0.0299	0.0178	0.0089	0.0022
0	0	0	0
0	0	0	0
0	0	0	0
0	0.0004	0.0004	0.0004
0.0004	0.0004	0.0004	0.988
0.9871	0.9929	1	0.9844
0.9474	0.8599	0.7159	0.5201
0.3104	0.1637	0.095	0.0558
0.0352	0.0214	0.0125	0.0062
0.0022	0	0	0
0	0	0	0
0	0.0004	0.0004	0.0004
0.0004	0.0004	0.0004	0.0009
0.0009	0.0009	0.0009	0.0009
0.9955	0.9947	1	0.9969
0.9603	0.884	0.7632	0.5727
0.3845	0.2319	0.1405	0.0843
0.0486	0.0299	0.0192	0.0112
0.0049	0.0018	0	0
0	0	0	0
0.0004	0.0004	0.0004	0.0004
0.0004	0.0004	0.0004	0.0004
0.0004	0.0004	0.0004	0.0009
0.0009	0.9822	0.9826	0.9884
1	0.9875	0.9483	0.8666
0.7203	0.5071	0.2846	0.1512
0.0888	0.0531	0.0326	0.0192
0.0112	0.0049	0.0013	0
0	0	0	0
0	0	0	0
0.0004	0.0004	0.0004	0.0004
0.0004	0.0004	0.0004	0.0004
0.0009	0.0009	0.9277	0.93
0.9367	0.9612	0.9875	1
0.8858	0.7386	0.4657	0.3006
0.186	0.1186	0.0718	0.0446
0.0268	0.0152	0.0071	0.0013
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0.0004	0.934
0.9362	0.9438	0.9692	1
0.9407	0.81	0.6111	0.4054
0.2444	0.149	0.0888	0.0522
0.0321	0.0174	0.0094	0.0036
0.0004	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0.9688	0.971	0.979	0.9987
1	0.9184	0.7235	0.5388
0.3466	0.2239	0.1418	0.083
0.0464	0.0285	0.0161	0.0076
0.0027	0.0004	0	0
0	0	0	0
0	0	0	0
0.0004	0.0004	0.0004	0.0004
0.0004	0.0004	0.0004	0.0004
0.0004	0.9416	0.9429	0.9523
0.9746	1	0.9389	0.8158
0.624	0.4117	0.2475	0.1508
0.091	0.0522	0.0317	0.0174
0.0094	0.0036	0.0004	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0.9202	0.9211
0.9313	0.9554	0.9893	1
0.8889	0.7435	0.4728	0.3145
0.1936	0.1227	0.0767	0.0464
0.0281	0.0156	0.0071	0.0013
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0.9728
0.9741	0.9831	1	0.996
0.9732	0.9041	0.7596	0.5611
0.3301	0.1806	0.103	0.0607
0.037	0.0219	0.0125	0.0058
0.0018	0	0	0
0	0	0	0
0	0	0.0004	0.0004
0.0004	0.0004	0.0004	0.0004
0.0004	0.0004	0.0004	0.0009
